pid,technique,granularity,windows,trialNo,time,accuracy,steps
1,AUTOCOMPASTE,sentence,Single,1,7766,1,7
1,AUTOCOMPASTE,sentence,Single,2,6886,1,2
1,AUTOCOMPASTE,sentence,Single,3,6625,1,2
1,AUTOCOMPASTE,sentence,Multiple,1,7476,1,2
1,AUTOCOMPASTE,sentence,Multiple,2,5168,1,3
1,AUTOCOMPASTE,sentence,Multiple,3,5238,1,3
1,AUTOCOMPASTE,paragraph,Single,1,8312,1,3
1,AUTOCOMPASTE,paragraph,Single,2,6334,1,6
1,AUTOCOMPASTE,paragraph,Single,3,23408,1,3
1,AUTOCOMPASTE,paragraph,Multiple,1,6727,1,3
1,AUTOCOMPASTE,paragraph,Multiple,2,9052,1,3
1,AUTOCOMPASTE,paragraph,Multiple,3,7924,1,3
1,AUTOCOMPASTE,phrase,Single,1,9438,1,6
1,AUTOCOMPASTE,phrase,Single,2,14106,1,6
1,AUTOCOMPASTE,phrase,Single,3,8309,1,6
1,AUTOCOMPASTE,phrase,Multiple,1,11583,1,6
1,AUTOCOMPASTE,phrase,Multiple,2,12468,1,12
1,AUTOCOMPASTE,phrase,Multiple,3,18175,1,6
1,TRADITIONAL,sentence,Single,1,12663,1,5
1,TRADITIONAL,sentence,Single,2,5512,1,4
1,TRADITIONAL,sentence,Single,3,4038,1,4
1,TRADITIONAL,sentence,Multiple,1,15772,1,5
1,TRADITIONAL,sentence,Multiple,2,4053,1,5
1,TRADITIONAL,sentence,Multiple,3,6238,1,5
1,TRADITIONAL,paragraph,Single,1,5236,1,4
1,TRADITIONAL,paragraph,Single,2,4598,1,5
1,TRADITIONAL,paragraph,Single,3,4064,1,4
1,TRADITIONAL,paragraph,Multiple,1,3701,1,5
1,TRADITIONAL,paragraph,Multiple,2,10866,1,5
1,TRADITIONAL,paragraph,Multiple,3,8204,1,5
1,TRADITIONAL,phrase,Single,1,4236,1,4
1,TRADITIONAL,phrase,Single,2,5732,1,5
1,TRADITIONAL,phrase,Single,3,4630,1,5
1,TRADITIONAL,phrase,Multiple,1,10455,1,5
1,TRADITIONAL,phrase,Multiple,2,5207,1,5
1,TRADITIONAL,phrase,Multiple,3,5873,1,5
1,AUTOCOMPASTE,sentence,Single,1,10261,1,6
1,AUTOCOMPASTE,sentence,Single,2,6710,1,5
1,AUTOCOMPASTE,sentence,Single,3,5582,1,2
1,AUTOCOMPASTE,sentence,Multiple,1,5482,1,3
1,AUTOCOMPASTE,sentence,Multiple,2,5890,1,2
1,AUTOCOMPASTE,sentence,Multiple,3,4063,1,3
1,AUTOCOMPASTE,paragraph,Single,1,6859,1,3
1,AUTOCOMPASTE,paragraph,Single,2,9190,1,5
1,AUTOCOMPASTE,paragraph,Single,3,5206,1,3
1,AUTOCOMPASTE,paragraph,Multiple,1,4748,1,3
1,AUTOCOMPASTE,paragraph,Multiple,2,5765,1,3
1,AUTOCOMPASTE,paragraph,Multiple,3,9442,1,3
1,AUTOCOMPASTE,phrase,Single,1,12850,1,5
1,AUTOCOMPASTE,phrase,Single,2,25883,1,6
1,AUTOCOMPASTE,phrase,Single,3,9393,1,6
1,AUTOCOMPASTE,phrase,Multiple,1,8266,1,6
1,AUTOCOMPASTE,phrase,Multiple,2,6238,1,9
1,AUTOCOMPASTE,phrase,Multiple,3,8928,1,7
1,TRADITIONAL,sentence,Single,1,9589,1,5
1,TRADITIONAL,sentence,Single,2,4072,1,4
1,TRADITIONAL,sentence,Single,3,3848,1,4
1,TRADITIONAL,sentence,Multiple,1,4488,1,4
1,TRADITIONAL,sentence,Multiple,2,6062,1,5
1,TRADITIONAL,sentence,Multiple,3,5069,1,5
1,TRADITIONAL,paragraph,Single,1,3116,1,4
1,TRADITIONAL,paragraph,Single,2,3896,1,5
1,TRADITIONAL,paragraph,Single,3,4070,1,4
1,TRADITIONAL,paragraph,Multiple,1,3086,1,4
1,TRADITIONAL,paragraph,Multiple,2,7927,1,5
1,TRADITIONAL,paragraph,Multiple,3,2762,1,4
1,TRADITIONAL,phrase,Single,1,4179,1,5
1,TRADITIONAL,phrase,Single,2,5158,1,4
1,TRADITIONAL,phrase,Single,3,3842,1,4
1,TRADITIONAL,phrase,Multiple,1,23251,1,5
1,TRADITIONAL,phrase,Multiple,2,6236,1,5
1,TRADITIONAL,phrase,Multiple,3,8293,1,5
1,AUTOCOMPASTE,sentence,Single,1,7322,1,2
1,AUTOCOMPASTE,sentence,Single,2,3323,1,5
1,AUTOCOMPASTE,sentence,Single,3,3984,1,2
1,AUTOCOMPASTE,sentence,Multiple,1,2882,1,2
1,AUTOCOMPASTE,sentence,Multiple,2,3770,1,3
1,AUTOCOMPASTE,sentence,Multiple,3,3402,1,2
1,AUTOCOMPASTE,paragraph,Single,1,4142,1,3
1,AUTOCOMPASTE,paragraph,Single,2,4833,1,3
1,AUTOCOMPASTE,paragraph,Single,3,5150,1,5
1,AUTOCOMPASTE,paragraph,Multiple,1,6198,1,5
1,AUTOCOMPASTE,paragraph,Multiple,2,6972,1,2
1,AUTOCOMPASTE,paragraph,Multiple,3,4773,1,3
1,AUTOCOMPASTE,phrase,Single,1,4754,1,12
1,AUTOCOMPASTE,phrase,Single,2,6653,1,7
1,AUTOCOMPASTE,phrase,Single,3,5235,1,7
1,AUTOCOMPASTE,phrase,Multiple,1,8345,1,6
1,AUTOCOMPASTE,phrase,Multiple,2,9170,1,6
1,AUTOCOMPASTE,phrase,Multiple,3,5118,1,6
1,TRADITIONAL,sentence,Single,1,5297,1,5
1,TRADITIONAL,sentence,Single,2,4171,1,4
1,TRADITIONAL,sentence,Single,3,4322,1,4
1,TRADITIONAL,sentence,Multiple,1,4314,1,5
1,TRADITIONAL,sentence,Multiple,2,4456,1,5
1,TRADITIONAL,sentence,Multiple,3,6777,1,5
